,accuracy,reduction,time
wine,0.8066666666666666,0.7752808988764045,5.1294989585876465
liver,0.785515873015873,0.7681159420289855,8.755411148071289
haberman,0.36666666666666664,0.8627450980392157,7.498126983642578
transfusion,0.6743939393939395,0.8582887700534759,113.30171179771423
