,accuracy,reduction,time
wine,0.9342907092907092,0.3258426966292135,3.6579630374908447
liver,0.9430735930735932,0.3884057971014493,8.844440937042236
haberman,0.892483660130719,0.42483660130718953,6.749809980392456
transfusion,0.9345663265306122,0.34893048128342247,116.49942588806152
