,accuracy,reduction,time
wine,0.9419551282051282,0.19662921348314608,3.261145830154419
liver,0.9432900432900434,0.5855072463768116,6.910576820373535
haberman,0.8566666666666667,0.5326797385620915,6.529126882553101
transfusion,0.9345663265306122,0.8088235294117647,112.39859509468079
